source_column,raw_value,python_normalized
customers.customer_city,amontada,amontada
customers.customer_city,amparo,amparo
customers.customer_city,amparo da serra,amparo da serra
customers.customer_city,ampere,ampere
customers.customer_city,anadia,anadia
customers.customer_city,anage,anage
customers.customer_city,analandia,analandia
customers.customer_city,ananas,ananas
customers.customer_city,ananindeua,ananindeua
customers.customer_city,anapolis,anapolis
customers.customer_city,anastacio,anastacio
customers.customer_city,anaurilandia,anaurilandia
customers.customer_city,anchieta,anchieta
customers.customer_city,andarai,andarai
customers.customer_city,andira,andira
customers.customer_city,andorinha,andorinha
customers.customer_city,andradas,andradas
customers.customer_city,andradina,andradina
customers.customer_city,andre da rocha,andre da rocha
customers.customer_city,andrelandia,andrelandia
customers.customer_city,andrequice,andrequice
customers.customer_city,angatuba,angatuba
customers.customer_city,angelica,angelica
customers.customer_city,angelina,angelina
customers.customer_city,angelo frechiani,angelo frechiani
customers.customer_city,angical,angical
customers.customer_city,angical do piaui,angical do piaui
customers.customer_city,angicos,angicos
customers.customer_city,angra dos reis,angra dos reis
customers.customer_city,anguera,anguera
customers.customer_city,angulo,angulo
customers.customer_city,angustura,angustura
customers.customer_city,anhandui,anhandui
customers.customer_city,anhembi,anhembi
customers.customer_city,anhumas,anhumas
customers.customer_city,anicuns,anicuns
customers.customer_city,anita garibaldi,anita garibaldi
customers.customer_city,anitapolis,anitapolis
customers.customer_city,anta,anta
customers.customer_city,anta gorda,anta gorda
customers.customer_city,antonina,antonina
customers.customer_city,antonina do norte,antonina do norte
customers.customer_city,antonio cardoso,antonio cardoso
customers.customer_city,antonio carlos,antonio carlos
customers.customer_city,antonio goncalves,antonio goncalves
customers.customer_city,antonio martins,antonio martins
customers.customer_city,antonio pereira,antonio pereira
customers.customer_city,antonio prado,antonio prado
customers.customer_city,antonio prado de minas,antonio prado de minas
customers.customer_city,antunes,antunes
customers.customer_city,aparecida,aparecida
customers.customer_city,aparecida d'oeste,aparecida d oeste
customers.customer_city,aparecida de goiania,aparecida de goiania
customers.customer_city,aparecida de monte alto,aparecida de monte alto
customers.customer_city,aparecida de sao manuel,aparecida de sao manuel
customers.customer_city,aparecida do rio negro,aparecida do rio negro
customers.customer_city,aparecida do taboado,aparecida do taboado
customers.customer_city,aperibe,aperibe
customers.customer_city,apiaca,apiaca
customers.customer_city,apiacas,apiacas
customers.customer_city,apiai,apiai
customers.customer_city,apiuna,apiuna
customers.customer_city,apodi,apodi
customers.customer_city,apora,apora
customers.customer_city,apore,apore
customers.customer_city,apuarema,apuarema
customers.customer_city,apucarana,apucarana
customers.customer_city,apuiares,apuiares
customers.customer_city,aquidaba,aquidaba
customers.customer_city,aquidauana,aquidauana
customers.customer_city,aquiraz,aquiraz
customers.customer_city,aracaju,aracaju
customers.customer_city,aracariguama,aracariguama
customers.customer_city,aracati,aracati
customers.customer_city,aracatu,aracatu
customers.customer_city,aracatuba,aracatuba
customers.customer_city,arace,arace
customers.customer_city,araci,araci
customers.customer_city,aracitaba,aracitaba
customers.customer_city,aracoiaba,aracoiaba
customers.customer_city,aracoiaba da serra,aracoiaba da serra
customers.customer_city,aracruz,aracruz
customers.customer_city,aracuai,aracuai
customers.customer_city,aragarcas,aragarcas
customers.customer_city,aragoiania,aragoiania
customers.customer_city,araguacu,araguacu
customers.customer_city,araguaia,araguaia
customers.customer_city,araguaina,araguaina
customers.customer_city,araguana,araguana
customers.customer_city,araguapaz,araguapaz
customers.customer_city,araguari,araguari
customers.customer_city,araguatins,araguatins
customers.customer_city,aramari,aramari
customers.customer_city,arame,arame
customers.customer_city,aramina,aramina
customers.customer_city,arandu,arandu
customers.customer_city,arantina,arantina
customers.customer_city,arapei,arapei
customers.customer_city,arapiraca,arapiraca
customers.customer_city,arapoema,arapoema
customers.customer_city,araponga,araponga
customers.customer_city,arapongas,arapongas
customers.customer_city,arapora,arapora
customers.customer_city,arapoti,arapoti
customers.customer_city,arapua,arapua
customers.customer_city,araputanga,araputanga
customers.customer_city,araquari,araquari
customers.customer_city,arara,arara
customers.customer_city,ararangua,ararangua
customers.customer_city,araraquara,araraquara
customers.customer_city,araras,araras
customers.customer_city,arari,arari
customers.customer_city,ararica,ararica
customers.customer_city,araripe,araripe
customers.customer_city,araripina,araripina
customers.customer_city,araruama,araruama
customers.customer_city,araruna,araruna
customers.customer_city,arataca,arataca
customers.customer_city,aratiba,aratiba
customers.customer_city,aratuba,aratuba
customers.customer_city,araucaria,araucaria
customers.customer_city,araujos,araujos
customers.customer_city,araxa,araxa
customers.customer_city,arceburgo,arceburgo
customers.customer_city,arcos,arcos
customers.customer_city,arcoverde,arcoverde
customers.customer_city,areado,areado
customers.customer_city,areal,areal
customers.customer_city,arealva,arealva
customers.customer_city,areia,areia
customers.customer_city,areia branca,areia branca
customers.customer_city,areia branca dos assis,areia branca dos assis
customers.customer_city,areial,areial
customers.customer_city,areias,areias
customers.customer_city,areiopolis,areiopolis
customers.customer_city,arembepe,arembepe
customers.customer_city,arenapolis,arenapolis
customers.customer_city,arenopolis,arenopolis
customers.customer_city,aribice,aribice
customers.customer_city,arinos,arinos
customers.customer_city,aripuana,aripuana
customers.customer_city,ariquemes,ariquemes
customers.customer_city,ariranha,ariranha
customers.customer_city,armacao dos buzios,armacao dos buzios
customers.customer_city,armazem,armazem
customers.customer_city,arneiroz,arneiroz
customers.customer_city,aroeiras,aroeiras
customers.customer_city,arraial d ajuda,arraial d ajuda
customers.customer_city,arraial d'ajuda,arraial d ajuda
customers.customer_city,arraial do cabo,arraial do cabo
customers.customer_city,arraias,arraias
customers.customer_city,arroio do meio,arroio do meio
customers.customer_city,arroio do sal,arroio do sal
customers.customer_city,arroio do tigre,arroio do tigre
customers.customer_city,arroio dos ratos,arroio dos ratos
customers.customer_city,arroio grande,arroio grande
customers.customer_city,arroio trinta,arroio trinta
customers.customer_city,arrozal,arrozal
customers.customer_city,artur nogueira,artur nogueira
customers.customer_city,aruana,aruana
customers.customer_city,aruja,aruja
customers.customer_city,arvoredo,arvoredo
customers.customer_city,arvorezinha,arvorezinha
customers.customer_city,ascurra,ascurra
customers.customer_city,assai,assai
customers.customer_city,assare,assare
customers.customer_city,assis,assis
customers.customer_city,assis chateaubriand,assis chateaubriand
customers.customer_city,assuncao,assuncao
customers.customer_city,astolfo dutra,astolfo dutra
customers.customer_city,astorga,astorga
customers.customer_city,atalaia,atalaia
customers.customer_city,atalanta,atalanta
customers.customer_city,ataleia,ataleia
customers.customer_city,atibaia,atibaia
customers.customer_city,atilio vivacqua,atilio vivacqua
customers.customer_city,augustinopolis,augustinopolis
customers.customer_city,augusto correa,augusto correa
customers.customer_city,augusto pestana,augusto pestana
customers.customer_city,aurea,aurea
customers.customer_city,auriflama,auriflama
customers.customer_city,aurilandia,aurilandia
customers.customer_city,aurora,aurora
customers.customer_city,aurora do para,aurora do para
customers.customer_city,avai,avai
customers.customer_city,avanhandava,avanhandava
customers.customer_city,avare,avare
customers.customer_city,avelar,avelar
customers.customer_city,avelino lopes,avelino lopes
customers.customer_city,azurita,azurita
